"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Population 18 to 24 years","1,522","±48","799","±46","723","±27","5,619","±232","2,893","±163","2,726","±167","35,843","±54","16,111","±30","19,732","±47","1,862","±117","1,005","±94","857","±71","2,182","±147","1,071","±97","1,111","±72","4,006","±174","1,844","±73","2,162","±158","2,095","±155","1,065","±77","1,030","±112","4,853","±166","2,646","±121","2,207","±113","2,225","±92","1,076","±89","1,149","±64","2,498","±153","1,197","±66","1,301","±147","1,219","±150","676","±80","543","±126","1,102","±108","610","±72","492","±49","2,554","±80","1,209","±72","1,345","±43","1,122","±64","550","±38","572","±58","2,225","±61","1,124","±38","1,101","±47"
"Less than high school graduate","22.1%","±6.8","20.8%","±10.8","23.5%","±8.5","24.1%","±5.1","30.0%","±8.3","17.8%","±6.9","5.0%","±0.9","5.5%","±1.2","4.6%","±1.3","33.0%","±8.2","36.8%","±11.9","28.5%","±11.9","23.8%","±6.8","20.5%","±10.2","27.0%","±11.4","22.0%","±4.3","26.1%","±8.0","18.6%","±6.3","29.1%","±7.9","31.9%","±11.4","26.1%","±11.1","23.6%","±5.3","31.0%","±7.8","14.6%","±5.3","19.1%","±5.1","6.9%","±5.8","30.5%","±8.9","17.2%","±5.3","22.6%","±8.3","12.1%","±5.7","21.2%","±8.1","22.2%","±12.1","20.1%","±14.6","21.3%","±11.9","21.8%","±12.2","20.7%","±14.5","18.4%","±6.6","27.0%","±10.6","10.6%","±6.1","15.3%","±11.8","22.9%","±18.7","8.0%","±10.3","14.9%","±7.2","11.5%","±8.5","18.4%","±11.0"
"High school graduate (includes equivalency)","44.4%","±7.2","56.3%","±11.5","31.3%","±10.1","34.4%","±4.6","35.3%","±8.1","33.5%","±6.5","23.2%","±2.0","20.6%","±2.5","25.3%","±2.8","43.5%","±8.1","42.7%","±10.5","44.5%","±12.1","34.1%","±9.0","39.0%","±14.1","29.4%","±11.1","37.2%","±5.5","37.8%","±7.3","36.7%","±9.5","40.0%","±10.0","42.5%","±13.3","37.3%","±13.1","34.0%","±4.3","33.6%","±6.1","34.4%","±8.1","38.3%","±8.1","47.7%","±13.0","29.6%","±10.2","21.8%","±5.6","29.6%","±7.6","14.6%","±6.8","46.3%","±13.6","57.8%","±16.6","32.0%","±20.1","42.2%","±16.1","41.8%","±15.6","42.7%","±22.2","31.5%","±7.6","34.8%","±10.1","28.5%","±9.1","14.8%","±8.0","19.1%","±15.1","10.7%","±5.8","22.8%","±9.3","23.4%","±12.4","22.2%","±11.7"
"Some college or associate's degree","33.5%","±8.2","22.9%","±10.8","45.2%","±11.8","38.5%","±5.9","33.2%","±8.5","44.2%","±7.8","60.7%","±2.5","64.5%","±3.2","57.5%","±3.4","20.7%","±6.2","18.0%","±8.0","23.8%","±9.6","37.5%","±9.1","37.5%","±13.7","37.4%","±13.5","38.8%","±5.0","35.1%","±7.1","41.9%","±8.5","27.1%","±7.1","25.5%","±9.9","28.7%","±8.4","37.2%","±5.0","31.6%","±7.2","43.9%","±7.5","38.4%","±8.7","40.6%","±12.2","36.3%","±11.6","50.6%","±7.1","41.4%","±9.6","59.1%","±8.7","27.3%","±12.3","20.0%","±13.8","36.5%","±19.3","30.4%","±11.9","25.4%","±14.5","36.6%","±17.8","45.6%","±7.5","38.2%","±10.6","52.3%","±9.8","69.2%","±10.8","58.0%","±18.5","79.9%","±12.9","60.3%","±13.3","61.9%","±17.2","58.6%","±16.1"
"Bachelor's degree or higher","0.0%","±2.6","0.0%","±4.9","0.0%","±5.4","3.0%","±1.8","1.5%","±1.2","4.6%","±3.5","11.1%","±1.6","9.4%","±2.0","12.6%","±2.4","2.8%","±3.2","2.5%","±3.4","3.3%","±4.5","4.5%","±2.6","2.9%","±2.9","6.1%","±4.1","2.0%","±1.2","1.0%","±1.3","2.8%","±2.1","3.9%","±2.9","0.0%","±3.7","7.9%","±6.1","5.3%","±2.5","3.7%","±3.0","7.1%","±3.9","4.2%","±3.1","4.8%","±5.0","3.7%","±4.1","10.4%","±3.3","6.3%","±4.4","14.1%","±5.5","5.1%","±5.1","0.0%","±5.7","11.4%","±11.5","6.1%","±5.6","11.0%","±10.1","0.0%","±7.8","4.5%","±3.0","0.0%","±3.3","8.6%","±5.8","0.7%","±1.3","0.0%","±7.0","1.4%","±2.6","2.0%","±2.4","3.2%","±4.1","0.8%","±1.5"
"Population 25 years and over","12,114","±140","6,015","±98","6,099","±89","44,035","±232","21,177","±187","22,858","±176","61,138","±65","29,290","±66","31,848","±73","13,588","±117","6,283","±95","7,305","±71","14,933","±147","7,220","±101","7,713","±77","28,838","±174","13,313","±144","15,525","±176","17,544","±154","8,456","±114","9,088","±75","39,493","±166","19,164","±134","20,329","±132","18,873","±87","9,229","±101","9,644","±98","21,125","±155","10,103","±78","11,022","±132","10,036","±149","4,870","±93","5,166","±139","11,830","±148","5,662","±89","6,168","±100","17,376","±124","8,172","±93","9,204","±75","7,780","±84","3,651","±62","4,129","±50","18,961","±172","9,276","±233","9,685","±102"
"Less than 9th grade","9.3%","±1.7","10.3%","±2.4","8.3%","±2.0","7.3%","±1.1","8.2%","±1.6","6.6%","±1.3","5.5%","±0.7","4.9%","±0.9","6.1%","±0.9","8.2%","±1.7","9.5%","±2.6","7.1%","±1.8","7.0%","±1.5","7.8%","±1.8","6.2%","±2.1","9.9%","±1.2","10.5%","±1.6","9.4%","±1.4","6.2%","±1.3","7.2%","±1.8","5.3%","±1.7","8.8%","±1.2","9.4%","±1.6","8.3%","±1.3","8.1%","±1.4","9.8%","±2.3","6.6%","±1.5","1.7%","±0.4","1.7%","±0.7","1.8%","±0.6","6.6%","±2.2","6.4%","±2.9","6.8%","±3.1","4.7%","±1.2","6.4%","±2.2","3.1%","±1.2","7.0%","±1.3","6.7%","±1.8","7.3%","±1.9","5.0%","±1.6","5.5%","±2.6","4.5%","±1.6","5.5%","±1.5","5.9%","±2.0","5.1%","±1.7"
"9th to 12th grade, no diploma","13.7%","±2.1","15.9%","±2.8","11.5%","±2.6","12.3%","±1.2","12.1%","±1.8","12.4%","±1.6","9.6%","±1.0","9.7%","±1.4","9.4%","±1.1","15.0%","±2.4","17.9%","±4.0","12.5%","±2.4","20.0%","±2.2","20.2%","±3.0","19.7%","±3.2","11.2%","±1.2","10.8%","±1.7","11.6%","±1.6","14.2%","±1.8","15.6%","±2.7","12.9%","±2.0","11.2%","±1.2","11.1%","±1.6","11.3%","±1.6","16.4%","±2.6","18.3%","±3.6","14.5%","±2.6","7.3%","±1.5","7.0%","±1.7","7.5%","±1.8","16.1%","±2.8","14.4%","±3.2","17.7%","±4.5","10.5%","±2.2","11.4%","±3.6","9.7%","±3.0","14.9%","±2.1","16.6%","±3.4","13.5%","±2.6","9.5%","±2.0","10.1%","±3.2","8.9%","±2.3","9.4%","±2.0","11.6%","±2.8","7.2%","±2.3"
"High school graduate (includes equivalency)","43.4%","±3.3","44.7%","±3.8","42.1%","±4.1","34.8%","±1.8","35.0%","±2.6","34.5%","±2.2","22.0%","±1.4","22.4%","±2.0","21.7%","±1.7","45.4%","±2.7","41.9%","±4.6","48.4%","±3.5","37.1%","±2.9","40.6%","±3.9","33.8%","±3.5","34.4%","±2.0","34.2%","±2.7","34.6%","±2.4","38.1%","±2.7","39.5%","±3.8","36.8%","±3.9","35.4%","±1.9","36.0%","±2.5","34.8%","±2.4","38.0%","±3.1","35.8%","±3.9","40.1%","±4.1","18.6%","±1.9","18.2%","±2.8","19.0%","±2.1","34.2%","±4.1","39.6%","±5.8","29.1%","±4.5","32.9%","±3.3","30.3%","±4.2","35.4%","±4.7","39.7%","±3.3","41.9%","±4.9","37.8%","±3.2","38.3%","±4.0","42.1%","±5.6","34.9%","±4.8","33.5%","±3.7","31.3%","±4.6","35.7%","±4.2"
"Some college, no degree","16.0%","±2.2","13.6%","±2.9","18.3%","±2.7","21.3%","±1.5","22.1%","±2.3","20.5%","±1.9","17.7%","±1.2","17.2%","±1.6","18.2%","±1.6","15.2%","±2.4","15.7%","±3.7","14.9%","±2.4","17.4%","±2.1","16.2%","±2.7","18.6%","±2.8","19.9%","±1.7","20.2%","±2.5","19.5%","±2.1","19.6%","±2.4","15.9%","±2.4","23.1%","±3.9","19.5%","±1.5","19.9%","±2.2","19.2%","±2.1","18.4%","±2.3","18.2%","±3.2","18.7%","±3.4","22.2%","±2.0","21.9%","±2.8","22.4%","±2.6","20.0%","±3.0","20.1%","±4.9","20.0%","±3.6","21.2%","±2.4","19.4%","±3.3","22.8%","±3.7","16.7%","±2.5","14.8%","±3.2","18.4%","±3.5","18.2%","±3.1","13.9%","±3.2","22.0%","±4.6","24.4%","±2.7","23.4%","±3.4","25.3%","±3.9"
