"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Population 18 to 24 years","1,484","±46","762","±37","722","±34","5,496","±226","2,869","±116","2,627","±196","36,098","±80","16,443","±42","19,655","±66","1,968","±153","1,031","±124","937","±146","2,252","±111","1,147","±91","1,105","±61","3,855","±193","1,780","±59","2,075","±179","1,902","±161","1,002","±63","900","±125","5,042","±363","2,830","±264","2,212","±157","2,176","±103","1,055","±96","1,121","±38","2,470","±169","1,227","±116","1,243","±147","1,126","±106","650","±74","476","±68","1,045","±69","555","±37","490","±45","2,508","±74","1,181","±65","1,327","±51","1,041","±185","414","±137","627","±94","2,389","±263","1,312","±246","1,077","±56"
"Less than high school graduate","26.1%","±8.4","25.5%","±12.8","26.7%","±10.2","25.3%","±4.4","27.8%","±7.2","22.5%","±7.0","5.6%","±1.0","6.1%","±1.6","5.2%","±1.4","31.3%","±8.1","38.9%","±11.9","22.9%","±9.6","24.6%","±6.8","21.4%","±9.5","27.8%","±10.7","29.6%","±5.1","32.8%","±9.5","26.9%","±7.4","27.2%","±7.0","35.0%","±11.1","18.6%","±8.0","29.5%","±5.2","39.7%","±7.6","16.5%","±5.6","22.7%","±6.7","17.1%","±8.3","27.9%","±8.5","17.1%","±4.6","21.4%","±7.6","12.8%","±5.2","30.4%","±10.3","30.9%","±14.1","29.6%","±17.0","18.6%","±8.0","17.1%","±8.0","20.2%","±11.8","19.0%","±6.0","30.5%","±10.6","8.8%","±5.8","12.6%","±13.6","20.3%","±26.4","7.5%","±7.9","22.6%","±13.6","22.2%","±17.8","23.1%","±15.0"
"High school graduate (includes equivalency)","44.5%","±8.5","56.4%","±14.9","32.0%","±9.1","39.2%","±5.4","44.2%","±7.8","33.7%","±7.4","21.9%","±2.2","20.9%","±2.4","22.8%","±2.9","50.5%","±9.3","39.7%","±13.4","62.4%","±12.5","39.3%","±7.7","45.9%","±10.9","32.3%","±9.3","30.4%","±5.2","37.5%","±7.8","24.3%","±7.5","41.2%","±8.4","45.2%","±13.0","36.7%","±11.7","29.5%","±4.2","25.8%","±6.4","34.2%","±5.8","39.8%","±9.3","44.7%","±11.7","35.2%","±12.4","29.8%","±6.8","35.1%","±9.2","24.5%","±8.6","35.1%","±13.4","44.6%","±19.6","22.1%","±14.0","42.1%","±13.1","46.8%","±17.4","36.7%","±20.0","31.5%","±8.9","31.6%","±12.9","31.5%","±10.0","20.2%","±9.7","35.7%","±20.9","9.9%","±5.9","42.6%","±13.5","48.3%","±21.7","35.7%","±9.2"
"Some college or associate's degree","29.4%","±8.5","18.1%","±10.1","41.3%","±10.5","32.7%","±5.1","26.1%","±7.8","39.9%","±7.0","61.8%","±2.6","63.9%","±3.0","60.1%","±3.9","17.1%","±5.3","21.4%","±8.7","12.3%","±6.8","29.6%","±7.3","30.5%","±9.4","28.6%","±10.4","37.0%","±6.0","28.5%","±8.8","44.2%","±8.5","28.7%","±5.9","19.8%","±8.2","38.6%","±11.5","33.6%","±5.7","28.9%","±7.4","39.7%","±7.3","36.2%","±7.7","38.2%","±10.5","34.3%","±11.3","41.5%","±6.8","37.2%","±10.3","45.8%","±9.4","33.8%","±10.6","24.5%","±13.6","46.6%","±14.9","33.4%","±13.5","24.9%","±17.2","43.1%","±21.0","44.6%","±9.2","37.9%","±11.1","50.6%","±13.2","66.4%","±14.9","44.0%","±23.4","81.2%","±12.0","34.5%","±11.5","29.1%","±15.0","41.0%","±14.8"
"Bachelor's degree or higher","0.0%","±2.7","0.0%","±5.1","0.0%","±5.4","2.9%","±1.9","1.9%","±1.7","3.9%","±3.6","10.6%","±1.5","9.2%","±2.1","11.9%","±2.4","1.1%","±1.6","0.0%","±3.8","2.3%","±3.4","6.6%","±3.6","2.1%","±2.6","11.3%","±6.9","3.0%","±1.8","1.2%","±1.5","4.5%","±3.1","2.9%","±2.9","0.0%","±3.9","6.2%","±6.2","7.3%","±3.5","5.6%","±5.2","9.6%","±4.4","1.3%","±1.4","0.0%","±3.7","2.6%","±2.7","11.6%","±4.0","6.3%","±4.3","16.9%","±6.9","0.7%","±1.2","0.0%","±6.0","1.7%","±2.7","5.9%","±5.7","11.2%","±10.8","0.0%","±7.8","4.8%","±3.6","0.0%","±3.3","9.1%","±6.8","0.9%","±1.4","0.0%","±9.2","1.4%","±2.2","0.3%","±0.6","0.4%","±0.8","0.2%","±0.4"
"Population 25 years and over","11,931","±143","5,918","±101","6,013","±83","43,256","±226","20,784","±134","22,472","±200","59,582","±83","28,489","±58","31,093","±60","13,542","±150","6,343","±144","7,199","±37","14,850","±119","7,130","±101","7,720","±83","28,715","±193","13,297","±141","15,418","±166","17,557","±161","8,366","±90","9,191","±126","39,173","±197","19,057","±131","20,116","±160","18,784","±106","9,131","±103","9,653","±71","20,615","±172","9,805","±125","10,810","±129","9,953","±110","4,788","±82","5,165","±65","11,895","±135","5,694","±95","6,201","±121","17,310","±134","8,138","±113","9,172","±66","7,788","±185","3,733","±134","4,055","±98","18,596","±135","8,991","±151","9,605","±94"
"Less than 9th grade","9.3%","±1.5","10.8%","±2.7","7.8%","±1.8","7.4%","±1.0","8.4%","±1.4","6.5%","±1.2","5.5%","±0.6","4.9%","±0.9","6.0%","±0.8","8.8%","±1.5","10.5%","±2.5","7.3%","±1.7","7.4%","±1.6","7.8%","±2.0","7.0%","±2.1","10.7%","±1.3","11.4%","±1.6","10.1%","±1.7","7.0%","±1.3","7.7%","±1.8","6.3%","±1.6","9.2%","±1.2","9.4%","±1.5","9.0%","±1.5","7.8%","±1.4","8.2%","±1.8","7.3%","±2.0","2.3%","±0.7","2.4%","±1.2","2.2%","±0.9","5.8%","±1.7","3.6%","±1.6","7.9%","±2.9","5.0%","±1.4","6.6%","±2.3","3.4%","±1.5","6.4%","±1.6","6.5%","±2.2","6.3%","±2.0","4.9%","±1.6","5.1%","±2.3","4.6%","±1.8","5.4%","±1.5","4.9%","±1.8","5.9%","±1.9"
"9th to 12th grade, no diploma","15.5%","±2.2","17.4%","±3.0","13.6%","±3.2","13.1%","±1.4","13.0%","±1.9","13.2%","±1.7","9.6%","±1.0","10.3%","±1.3","9.0%","±1.2","15.4%","±2.2","15.7%","±3.3","15.1%","±2.6","19.1%","±2.6","20.6%","±3.6","17.7%","±2.8","12.6%","±1.4","12.8%","±1.9","12.5%","±1.7","16.0%","±2.5","16.1%","±2.9","15.8%","±2.9","11.4%","±1.3","11.6%","±1.7","11.3%","±1.7","18.3%","±2.6","19.7%","±3.5","17.0%","±2.8","7.7%","±1.3","7.6%","±1.5","7.9%","±1.6","18.1%","±3.4","17.9%","±4.6","18.2%","±4.7","11.7%","±2.2","13.3%","±3.1","10.2%","±2.5","16.3%","±2.9","15.2%","±3.3","17.3%","±4.0","9.8%","±2.1","11.6%","±3.8","8.2%","±1.9","10.3%","±2.1","11.7%","±3.0","9.0%","±2.4"
"High school graduate (includes equivalency)","43.7%","±3.0","45.3%","±4.0","42.1%","±3.9","35.2%","±1.8","35.7%","±2.7","34.7%","±2.5","22.3%","±1.2","22.2%","±1.8","22.4%","±1.7","44.7%","±2.9","44.4%","±4.8","45.0%","±3.8","37.0%","±3.0","39.2%","±4.4","35.0%","±3.7","33.8%","±2.2","32.9%","±2.7","34.6%","±2.9","38.1%","±3.0","39.3%","±3.8","37.0%","±3.8","37.3%","±1.9","38.0%","±2.4","36.6%","±2.5","39.5%","±2.9","39.3%","±4.0","39.6%","±3.7","18.1%","±1.9","17.7%","±2.5","18.5%","±2.1","32.6%","±4.5","34.3%","±5.8","31.1%","±5.6","33.8%","±3.1","32.1%","±4.9","35.4%","±3.5","40.9%","±3.0","44.3%","±4.7","37.9%","±3.5","38.7%","±3.5","41.0%","±4.8","36.5%","±4.6","33.6%","±3.8","32.4%","±4.7","34.8%","±4.6"
"Some college, no degree","15.5%","±2.0","12.2%","±2.2","18.7%","±2.9","20.8%","±1.7","21.8%","±2.2","19.8%","±2.2","17.4%","±1.1","16.0%","±1.5","18.7%","±1.6","14.3%","±2.0","14.1%","±2.9","14.4%","±2.4","17.2%","±2.3","16.1%","±2.8","18.1%","±3.3","18.4%","±1.8","19.2%","±2.3","17.8%","±2.3","17.8%","±2.3","14.9%","±2.7","20.4%","±3.2","18.0%","±1.4","18.7%","±2.0","17.4%","±1.7","17.1%","±2.1","16.0%","±3.0","18.1%","±2.7","21.1%","±1.9","20.1%","±2.4","21.9%","±2.3","22.0%","±3.6","22.9%","±5.1","21.1%","±4.8","20.3%","±2.6","18.0%","±3.4","22.4%","±3.3","15.7%","±2.7","14.7%","±2.9","16.5%","±3.6","17.5%","±2.5","13.8%","±3.3","20.9%","±3.5","23.7%","±3.1","24.0%","±4.2","23.5%","±3.9"
