"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Population 18 to 24 years","1,590","±62","828","±51","762","±43","5,776","±211","2,936","±177","2,840","±130","35,091","±54","15,979","±54","19,112","±24","1,648","±73","853","±66","795","±22","1,986","±87","979","±62","1,007","±61","4,068","±266","1,864","±213","2,204","±209","2,108","±199","1,114","±126","994","±95","4,873","±140","2,527","±75","2,346","±112","2,287","±83","1,111","±63","1,176","±55","2,524","±128","1,275","±79","1,249","±79","1,063","±160","551","±131","512","±63","1,153","±74","637","±41","516","±48","2,893","±151","1,444","±86","1,449","±123","1,257","±60","608","±39","649","±60","2,354","±78","1,204","±57","1,150","±58"
"Less than high school graduate","17.1%","±6.5","19.4%","±10.7","14.6%","±6.1","26.5%","±5.0","32.0%","±7.3","20.8%","±6.1","4.1%","±1.2","4.8%","±1.5","3.6%","±1.6","23.2%","±7.9","27.3%","±10.4","18.7%","±9.6","20.8%","±7.3","18.8%","±11.1","22.8%","±11.1","19.1%","±4.3","20.1%","±9.1","18.1%","±5.0","25.9%","±6.9","24.9%","±11.4","27.1%","±10.6","18.2%","±4.0","20.5%","±5.8","15.7%","±5.5","22.3%","±6.5","12.7%","±6.8","31.5%","±9.3","14.5%","±4.8","15.8%","±7.0","13.2%","±5.7","20.3%","±11.7","27.2%","±18.0","12.9%","±11.0","24.5%","±7.3","27.2%","±9.4","21.3%","±10.7","25.2%","±6.4","30.5%","±8.8","19.9%","±10.2","11.9%","±9.8","18.1%","±13.2","6.2%","±9.7","13.6%","±5.8","11.5%","±9.3","15.7%","±9.1"
"High school graduate (includes equivalency)","46.3%","±7.1","59.8%","±12.1","31.6%","±8.9","36.3%","±4.9","37.3%","±7.4","35.3%","±6.4","22.3%","±3.5","19.7%","±3.7","24.4%","±4.0","32.1%","±7.0","34.5%","±10.1","29.6%","±9.8","37.6%","±9.2","47.4%","±13.3","28.1%","±10.4","38.1%","±5.7","35.2%","±8.2","40.5%","±8.6","43.6%","±10.6","48.9%","±13.9","37.6%","±11.9","39.3%","±5.2","42.6%","±8.0","35.8%","±7.4","35.6%","±7.1","45.7%","±12.6","26.0%","±7.3","23.8%","±4.9","34.2%","±8.1","13.1%","±5.6","36.3%","±10.0","44.6%","±18.4","27.3%","±12.3","42.8%","±11.6","39.6%","±14.2","46.9%","±14.8","25.4%","±6.7","28.6%","±10.0","22.3%","±8.2","19.8%","±7.4","26.2%","±11.9","13.9%","±10.1","28.9%","±11.2","27.3%","±14.6","30.5%","±13.1"
"Some college or associate's degree","35.1%","±6.4","20.8%","±8.7","50.7%","±10.3","33.5%","±4.2","28.4%","±5.5","38.8%","±6.4","59.6%","±3.4","63.0%","±4.1","56.8%","±4.1","39.7%","±9.0","35.3%","±12.8","44.5%","±11.6","39.2%","±7.6","30.7%","±12.4","47.5%","±13.2","39.2%","±5.5","41.4%","±8.5","37.3%","±8.6","26.9%","±6.7","22.9%","±9.5","31.3%","±10.8","40.4%","±4.5","34.8%","±7.0","46.5%","±6.2","34.6%","±6.9","33.7%","±10.6","35.5%","±9.1","56.2%","±6.1","46.8%","±8.8","65.7%","±8.6","33.9%","±9.6","26.5%","±13.0","41.8%","±14.2","30.6%","±11.1","29.7%","±12.7","31.8%","±15.6","43.8%","±7.6","40.9%","±11.4","46.7%","±10.9","64.4%","±12.0","48.5%","±18.2","79.4%","±12.3","52.9%","±10.3","55.5%","±15.6","50.3%","±13.1"
"Bachelor's degree or higher","1.5%","±1.3","0.0%","±4.4","3.1%","±2.8","3.7%","±2.2","2.3%","±1.9","5.1%","±3.9","13.9%","±2.1","12.5%","±3.2","15.2%","±2.5","5.0%","±3.7","2.9%","±3.3","7.2%","±7.6","2.3%","±1.5","3.1%","±2.8","1.6%","±1.7","3.7%","±2.1","3.3%","±2.7","4.0%","±2.7","3.7%","±3.0","3.3%","±4.6","4.0%","±4.3","2.1%","±1.5","2.1%","±2.5","2.0%","±1.7","7.4%","±4.5","7.9%","±6.9","7.0%","±5.0","5.5%","±2.7","3.1%","±2.4","7.9%","±4.5","9.5%","±5.9","1.6%","±3.8","18.0%","±12.5","2.0%","±2.2","3.6%","±4.0","0.0%","±7.0","5.6%","±4.1","0.1%","±0.2","11.0%","±8.2","3.8%","±4.2","7.2%","±8.8","0.6%","±2.2","4.6%","±3.6","5.7%","±5.9","3.5%","±3.1"
"Population 25 years and over","12,272","±60","6,158","±83","6,114","±81","45,470","±211","21,782","±182","23,688","±123","63,733","±66","30,316","±82","33,417","±96","13,606","±73","6,342","±66","7,264","±23","15,209","±100","7,307","±77","7,902","±68","29,215","±231","13,443","±223","15,772","±258","17,753","±199","8,600","±140","9,153","±94","40,137","±142","19,497","±107","20,640","±136","19,246","±83","9,395","±72","9,851","±73","21,994","±131","10,481","±105","11,513","±101","10,314","±161","5,013","±141","5,301","±74","12,026","±119","5,744","±89","6,282","±129","17,062","±151","7,980","±100","9,082","±134","7,790","±88","3,651","±64","4,139","±55","19,294","±137","9,282","±155","10,012","±99"
"    Less than 9th grade","8.7%","±1.5","9.7%","±2.2","7.8%","±1.9","7.2%","±1.1","7.9%","±1.6","6.6%","±1.1","5.6%","±0.7","4.9%","±0.9","6.2%","±1.0","7.6%","±1.3","8.3%","±2.4","7.0%","±1.7","9.8%","±1.7","11.4%","±2.5","8.3%","±2.1","9.8%","±1.4","10.8%","±1.9","8.9%","±1.7","5.1%","±1.2","7.0%","±1.9","3.4%","±1.0","7.8%","±0.9","9.1%","±1.4","6.6%","±0.9","6.4%","±1.3","7.8%","±2.1","5.0%","±1.5","2.0%","±0.7","2.1%","±0.9","1.9%","±0.8","6.7%","±1.6","7.9%","±2.3","5.5%","±1.9","4.1%","±1.2","4.1%","±1.5","4.1%","±1.8","5.6%","±1.5","6.3%","±2.0","4.9%","±1.9","4.7%","±1.6","5.2%","±2.5","4.3%","±1.8","4.9%","±1.0","6.8%","±1.7","3.2%","±1.0"
"    9th to 12th grade, no diploma","13.7%","±2.1","16.7%","±3.5","10.6%","±2.1","10.5%","±1.1","11.5%","±1.7","9.5%","±1.2","8.9%","±0.8","9.5%","±1.2","8.3%","±1.2","14.3%","±2.1","16.4%","±3.6","12.5%","±2.5","18.2%","±2.2","18.1%","±2.9","18.3%","±2.7","12.2%","±1.6","12.4%","±2.2","12.1%","±1.8","14.1%","±2.0","14.8%","±3.0","13.4%","±2.3","10.7%","±1.0","10.3%","±1.2","11.0%","±1.5","13.2%","±1.9","14.9%","±2.8","11.5%","±2.3","5.6%","±1.0","5.2%","±1.5","5.9%","±1.4","11.4%","±2.0","11.5%","±2.9","11.3%","±2.6","9.9%","±2.0","11.7%","±2.9","8.3%","±2.2","12.3%","±1.8","14.0%","±3.1","10.8%","±2.7","6.6%","±1.4","7.1%","±2.3","6.1%","±1.8","9.1%","±2.1","11.9%","±3.5","6.6%","±1.9"
"    High school graduate (includes equivalency)","43.1%","±2.7","43.7%","±3.9","42.5%","±3.3","35.0%","±1.6","35.7%","±2.4","34.3%","±2.2","22.1%","±1.1","22.9%","±1.6","21.4%","±1.4","47.9%","±2.9","45.4%","±4.0","50.2%","±3.9","36.0%","±2.5","38.6%","±3.8","33.5%","±3.0","34.7%","±2.1","34.9%","±2.7","34.5%","±2.4","38.0%","±3.0","40.2%","±4.1","35.9%","±3.6","34.9%","±1.5","35.8%","±2.0","34.1%","±2.3","39.5%","±2.3","35.7%","±3.0","43.0%","±3.3","20.2%","±1.9","20.1%","±2.4","20.2%","±2.7","37.7%","±2.7","42.0%","±3.6","33.7%","±3.8","34.5%","±3.5","32.9%","±4.5","36.0%","±4.1","39.3%","±2.9","40.6%","±4.4","38.2%","±3.4","36.0%","±3.3","40.4%","±5.0","32.2%","±4.3","34.7%","±3.3","30.6%","±4.2","38.5%","±4.2"
"    Some college, no degree","15.6%","±2.0","13.3%","±2.7","18.0%","±2.6","22.0%","±1.3","21.7%","±1.9","22.2%","±1.7","18.8%","±1.2","19.6%","±1.6","18.1%","±1.5","15.6%","±2.2","15.7%","±3.5","15.6%","±2.8","17.5%","±2.2","16.1%","±2.9","18.7%","±2.9","20.1%","±1.4","19.0%","±1.9","21.0%","±2.0","21.3%","±2.4","19.4%","±3.4","23.0%","±3.1","20.6%","±1.5","20.8%","±1.9","20.4%","±2.0","19.6%","±2.1","21.3%","±3.5","18.0%","±2.6","20.4%","±1.8","21.0%","±2.4","19.9%","±2.2","20.0%","±2.5","18.7%","±3.8","21.1%","±3.5","20.6%","±2.3","19.9%","±3.1","21.2%","±3.1","19.5%","±2.8","17.2%","±3.9","21.4%","±3.6","21.7%","±2.9","16.9%","±3.4","25.9%","±3.7","23.6%","±2.8","22.8%","±3.5","24.3%","±3.8"
"    Associate's degree","7.0%","±1.2","4.9%","±1.5","9.2%","±2.1","8.7%","±1.0","8.2%","±1.2","9.1%","±1.5","5.3%","±0.6","3.8%","±0.8","6.6%","±1.0","3.8%","±1.2","2.5%","±1.3","5.0%","±1.8","6.6%","±1.3","4.1%","±1.6","8.9%","±1.8","6.6%","±1.0","5.2%","±1.3","7.9%","±1.7","6.9%","±1.4","6.0%","±1.7","7.8%","±1.9","7.4%","±0.9","6.1%","±1.2","8.6%","±1.2","6.5%","±1.4","6.6%","±1.8","6.4%","±1.9","7.3%","±1.4","6.2%","±1.7","8.2%","±1.8","6.1%","±1.3","4.8%","±1.5","7.3%","±2.0","5.1%","±1.3","3.2%","±1.1","6.8%","±2.2","7.7%","±1.7","5.9%","±2.1","9.2%","±2.4","8.8%","±1.6","5.9%","±2.1","11.3%","±2.4","8.2%","±1.6","7.6%","±2.3","8.8%","±2.2"
"    Bachelor's degree","7.5%","±1.4","7.7%","±1.5","7.3%","±1.9","11.7%","±1.1","11.1%","±1.5","12.3%","±1.5","19.6%","±1.1","19.9%","±1.4","19.4%","±1.5","6.3%","±1.3","8.6%","±2.1","4.3%","±1.1","7.9%","±1.1","8.0%","±1.5","7.8%","±1.6","9.4%","±1.0","11.8%","±1.7","7.4%","±1.2","9.1%","±1.4","8.3%","±1.9","9.9%","±2.2","12.5%","±1.3","12.9%","±1.7","12.0%","±1.7","8.6%","±1.2","7.3%","±1.6","9.9%","±2.0","21.7%","±1.8","22.3%","±2.3","21.2%","±2.6","10.6%","±2.2","9.0%","±2.8","12.1%","±2.7","16.1%","±2.2","17.4%","±3.0","15.0%","±2.9","8.3%","±1.6","9.3%","±2.6","7.5%","±2.0","12.7%","±2.0","14.8%","±3.1","10.8%","±2.4","11.7%","±2.2","11.6%","±3.0","11.8%","±2.6"
"    Graduate or professional degree","4.3%","±1.1","4.0%","±1.8","4.6%","±1.2","4.9%","±0.7","3.8%","±0.8","5.9%","±1.0","19.7%","±1.0","19.4%","±1.3","20.0%","±1.3","4.4%","±1.2","3.1%","±1.5","5.6%","±1.6","4.1%","±0.9","3.6%","±1.4","4.5%","±1.2","7.1%","±0.9","5.9%","±1.2","8.1%","±1.4","5.5%","±1.1","4.3%","±1.3","6.6%","±2.1","6.2%","±1.0","5.0%","±1.0","7.3%","±1.5","6.2%","±1.1","6.3%","±1.5","6.1%","±1.4","22.9%","±1.9","23.1%","±2.2","22.7%","±2.7","7.6%","±1.5","6.1%","±1.8","8.9%","±2.3","9.6%","±2.3","10.8%","±2.6","8.5%","±2.7","7.4%","±1.3","6.7%","±2.1","7.9%","±1.7","9.5%","±1.8","9.6%","±2.6","9.4%","±2.3","7.7%","±1.7","8.7%","±2.3","6.8%","±1.9"
"Percent high school graduate or higher","77.6%","±2.2","73.6%","±3.5","81.6%","±2.4","82.3%","±1.7","80.6%","±2.4","83.8%","±1.7","85.5%","±1.0","85.6%","±1.3","85.4%","±1.4","78.1%","±2.1","75.2%","±3.7","80.5%","±3.0","72.0%","±2.9","70.5%","±4.1","73.4%","±3.1","78.0%","±2.1","76.8%","±2.5","78.9%","±2.5","80.8%","±2.3","78.2%","±3.4","83.2%","±2.6","81.5%","±1.3","80.6%","±1.6","82.4%","±1.5","80.4%","±2.2","77.3%","±3.3","83.5%","±2.7","92.4%","±1.3","92.7%","±1.7","92.2%","±1.6","81.9%","±2.4","80.6%","±3.5","83.2%","±2.6","86.0%","±2.3","84.2%","±3.0","87.6%","±2.6","82.1%","±2.4","79.7%","±3.7","84.3%","±2.7","88.7%","±2.2","87.7%","±3.4","89.5%","±2.5","85.9%","±2.2","81.3%","±3.6","90.2%","±1.9"
"Percent bachelor's degree or higher","11.8%","±1.8","11.8%","±2.1","11.9%","±2.3","16.6%","±1.3","14.9%","±1.7","18.2%","±1.6","39.3%","±1.2","39.2%","±1.4","39.4%","±1.6","10.7%","±1.7","11.7%","±2.4","9.8%","±1.9","12.0%","±1.6","11.6%","±2.1","12.3%","±1.9","16.5%","±1.5","17.7%","±1.9","15.5%","±1.9","14.6%","±1.8","12.6%","±2.3","16.5%","±2.4","18.6%","±1.6","17.9%","±2.0","19.3%","±1.9","14.8%","±1.5","13.7%","±2.1","16.0%","±2.2","44.6%","±2.2","45.4%","±2.4","43.9%","±2.8","18.2%","±2.6","15.1%","±3.2","21.1%","±3.3","25.8%","±3.2","28.2%","±3.9","23.6%","±3.6","15.7%","±2.1","16.0%","±2.6","15.4%","±2.7","22.2%","±2.7","24.5%","±4.1","20.1%","±3.2","19.4%","±2.4","20.3%","±3.7","18.6%","±2.6"
"Population 25 to 34 years","2,036","±126","1,017","±97","1,019","±60","10,649","±264","5,210","±229","5,439","±143","20,064","±82","10,135","±33","9,929","±75","2,258","±186","1,133","±153","1,125","±51","2,634","±155","1,360","±87","1,274","±119","5,182","±323","2,383","±206","2,799","±209","2,763","±241","1,464","±178","1,299","±99","7,561","±205","3,683","±126","3,878","±132","3,456","±170","1,750","±111","1,706","±93","3,135","±113","1,537","±71","1,598","±79","1,746","±168","870","±119","876","±91","1,634","±128","867","±79","767","±76","2,508","±106","1,260","±94","1,248","±45","620","±87","284","±68","336","±66","2,729","±136","1,440","±125","1,289","±39"
"    High school graduate or higher","86.3%","±5.5","84.0%","±7.3","88.6%","±6.9","85.7%","±3.1","84.9%","±4.1","86.6%","±3.8","89.8%","±1.6","88.8%","±2.5","90.9%","±2.2","78.7%","±6.0","71.1%","±9.2","86.4%","±8.3","74.3%","±6.7","68.6%","±9.0","80.3%","±7.8","76.3%","±5.1","71.6%","±8.4","80.2%","±4.8","84.8%","±5.7","80.5%","±8.6","89.5%","±6.7","85.5%","±3.1","84.5%","±4.3","86.5%","±4.0","74.1%","±5.9","72.1%","±9.5","76.3%","±7.1","92.4%","±3.9","90.0%","±6.5","94.7%","±3.8","85.3%","±6.2","84.6%","±8.9","86.1%","±8.0","74.6%","±8.4","73.5%","±11.8","75.9%","±11.5","85.1%","±6.6","80.3%","±9.2","89.9%","±6.6","90.3%","±8.4","82.7%","±18.0","96.7%","±3.8","89.8%","±5.3","85.4%","±7.7","94.8%","±3.9"
